Sr No,College,College Code,Course,Location,Category,Quota,AIR,cap_round,year
1,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OPEN(W),1,CAP-2,2025-26
2,Sir J.J. School,1101,Painting,Mumbai,OPEN,OPEN,2,CAP-2,2025-26
3,Sir J.J. School,1101,Painting,Mumbai,OBC,OPEN,3,CAP-2,2025-26
4,Sir J.J. School,1101,Painting,Mumbai,OBC,OPEN,4,CAP-2,2025-26
5,Sir J.J. School,1105,Sculpture,Mumbai,OBC,OPEN,5,CAP-2,2025-26
6,Sir J.J. Institute,1202,Applied Art,Mumbai,VJA,OPEN,6,CAP-2,2025-26
7,Sir J.J. School,1101,Painting,Mumbai,OBC,OPEN,7,CAP-2,2025-26
8,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OPEN(W),8,CAP-2,2025-26
9,Sir J.J. Institute,1202,Applied Art,Mumbai,SC,OPEN(W),9,CAP-2,2025-26
10,Sir J.J. School,1101,Painting,Mumbai,OBC,OPEN,10,CAP-2,2025-26
11,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OPEN(W),11,CAP-2,2025-26
12,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OPEN,12,CAP-2,2025-26
13,Sir J.J. School,1101,Painting,Mumbai,OBC,OPEN,13,CAP-2,2025-26
14,Sir J.J. School,1101,Painting,Mumbai,OPEN,OPEN(W),14,CAP-2,2025-26
15,Sir J.J. School,1101,Painting,Mumbai,OBC,OPEN,15,CAP-2,2025-26
16,Sir J.J. School,1101,Painting,Mumbai,ST,ST,16,CAP-2,2025-26
17,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OPEN,17,CAP-2,2025-26
18,Sir J.J. School,1101,Painting,Mumbai,OBC,OPEN(W),18,CAP-2,2025-26
19,Sir J.J. School,1103,Textile Design,Mumbai,OPEN,OPEN,19,CAP-2,2025-26
20,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OPEN,20,CAP-2,2025-26
21,Sir J.J. Institute,1202,Applied Art,Mumbai,OPEN,OPEN(W),21,CAP-2,2025-26
22,Sir J.J. Institute,1202,Applied Art,Mumbai,NTC,OPEN(W),22,CAP-2,2025-26
23,Sir J.J. Institute,1202,Applied Art,Mumbai,OPEN,OPEN,23,CAP-2,2025-26
24,Sir J.J. School,1105,Sculpture,Mumbai,NTB,NTB,24,CAP-2,2025-26
25,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OPEN,25,CAP-2,2025-26
26,Sir J.J. Institute,1202,Applied Art,Mumbai,SEBC,OPEN,26,CAP-2,2025-26
27,Sir J.J. School,1104,Int. Decoration,Mumbai,SC,OPEN,28,CAP-2,2025-26
